,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Outdoor monthly air temperature (¡C),Thermal sensation
80,2.0,1.0,0.1,23.7,23.1,49.0,26.8,-1
81,1.0,1.0,0.1,23.7,23.1,49.0,26.8,-1
82,1.0,1.0,0.1,23.7,23.1,49.0,26.8,1
87,2.0,1.0,0.1,23.7,23.1,49.0,26.8,0
95,1.0,2.0,0.1,23.7,23.1,49.0,26.8,0
97,2.0,2.0,0.1,23.7,23.1,49.0,26.8,1
105,1.0,2.0,0.1,23.9,23.1,42.0,29.8,0
107,2.0,2.0,0.1,23.9,23.1,42.0,29.8,0
108,2.0,1.0,0.1,23.9,23.1,42.0,29.8,-1
109,1.0,1.0,0.1,23.9,23.1,42.0,29.8,0
111,2.0,1.0,0.1,23.9,23.1,42.0,29.8,0
115,2.0,2.0,0.1,23.9,23.1,42.0,29.8,-1
124,1.0,2.0,0.1,23.9,23.1,42.0,29.8,-1
128,1.0,1.0,0.1,23.9,23.1,42.0,29.8,1
129,1.0,1.0,0.1,23.7,23.1,37.0,27.2,0
131,2.0,2.0,0.1,23.7,23.1,37.0,27.2,-1
132,2.0,1.0,0.1,23.7,23.1,37.0,27.2,-1
133,2.0,1.0,0.1,23.7,23.1,37.0,27.2,0
135,1.0,1.0,0.1,23.7,23.1,37.0,27.2,-1
138,1.0,2.0,0.1,23.7,23.1,37.0,27.2,0
139,2.0,2.0,0.1,23.7,23.1,37.0,27.2,0
145,3.0,2.0,0.1,23.7,23.1,37.0,27.2,-1
147,1.0,1.0,0.1,23.7,23.1,37.0,27.2,1
156,3.0,1.0,0.1,23.7,23.1,37.0,27.2,0
161,1.0,2.0,0.1,23.7,23.1,37.0,27.2,-1
171,1.0,2.0,0.1,23.7,23.1,37.0,27.2,-2
172,2.0,2.0,0.1,23.7,23.1,0.72,13.9,-1
173,1.0,2.0,0.1,23.7,23.1,0.72,13.9,-1
174,1.0,2.0,0.1,23.7,23.1,0.72,13.9,2
175,1.0,2.0,0.1,23.7,23.1,0.72,13.9,0
177,2.0,1.0,0.1,23.7,23.1,0.72,13.9,-1
178,1.0,1.0,0.1,23.7,23.1,0.72,13.9,-1
181,3.0,1.0,0.1,23.7,23.1,0.72,13.9,-1
184,4.0,2.0,0.1,23.7,23.1,0.72,13.9,0
186,1.0,2.0,0.1,23.7,23.1,0.72,13.9,1
194,1.0,1.0,0.1,23.7,23.1,0.72,13.9,0
195,2.0,1.0,0.1,23.7,23.1,0.72,13.9,0
199,1.0,1.0,0.1,23.7,23.1,0.72,13.9,2
211,2.0,2.0,0.1,23.7,23.1,0.72,13.9,0
212,1.0,2.0,0.1,23.7,23.1,0.72,13.9,-2
216,1.0,1.0,0.1,23.7,23.1,0.72,13.9,1
231,2.0,2.0,0.1,17.4,23.1,60.0,12.8,-1
232,2.0,2.0,0.1,17.4,23.1,60.0,12.8,0
234,3.0,1.0,0.1,17.4,23.1,60.0,12.8,-1
235,2.0,1.0,0.1,17.4,23.1,60.0,12.8,-1
236,2.0,1.0,0.1,17.4,23.1,60.0,12.8,1
237,3.0,2.0,0.1,17.4,23.1,60.0,12.8,-1
239,6.0,2.0,0.1,17.4,23.1,60.0,12.8,0
241,2.0,1.0,0.1,17.4,23.1,60.0,12.8,0
242,4.0,2.0,0.1,17.4,23.1,60.0,12.8,-1
250,3.0,2.0,0.1,17.4,23.1,60.0,12.8,0
258,4.0,2.0,0.1,17.4,23.1,60.0,12.8,0
261,5.0,1.0,0.1,17.4,23.1,60.0,12.8,0
263,5.0,2.0,0.1,17.4,23.1,60.0,12.8,-1
264,3.0,1.0,0.1,17.4,23.1,60.0,12.8,0
267,4.0,1.0,0.1,17.4,23.1,60.0,12.8,-1
269,2.0,2.0,0.1,17.4,23.1,60.0,12.8,1
300,2.0,2.0,0.1,23.7,23.1,65.0,25.6,0
301,2.0,2.0,0.1,23.7,23.1,65.0,25.6,-1
302,1.0,2.0,0.1,23.7,23.1,65.0,25.6,0
303,1.0,1.0,0.1,23.7,23.1,65.0,25.6,0
305,2.0,1.0,0.1,23.7,23.1,65.0,25.6,0
307,2.0,1.0,0.1,23.7,23.1,65.0,25.6,-1
313,1.0,1.0,0.1,23.7,23.1,65.0,25.6,1
314,5.0,1.0,0.1,23.7,23.1,56.0,28.4,0
315,3.0,1.0,0.1,23.7,23.1,56.0,28.4,2
316,3.0,1.0,0.1,23.7,23.1,56.0,28.4,0
317,2.0,2.0,0.1,23.7,23.1,56.0,28.4,0
319,2.0,1.0,0.1,23.7,23.1,56.0,28.4,0
321,3.0,2.0,0.1,23.7,23.1,56.0,28.4,0
324,3.0,2.0,0.1,23.7,23.1,56.0,28.4,1
325,6.0,2.0,0.1,23.7,23.1,56.0,28.4,1
327,3.0,2.0,0.1,23.7,23.1,56.0,28.4,2
331,3.0,1.0,0.1,23.7,23.1,56.0,28.4,1
334,2.0,1.0,0.1,23.7,23.1,56.0,28.4,2
337,2.0,2.0,0.1,23.7,23.1,56.0,28.4,1
341,2.0,2.0,0.1,23.7,23.1,56.0,28.4,-1
343,4.0,2.0,0.1,23.7,23.1,56.0,28.4,-1
356,2.0,2.0,0.1,23.7,23.1,56.0,28.4,2
358,6.0,2.0,0.1,23.7,23.1,56.0,28.4,0
360,4.0,2.0,0.1,23.7,23.1,56.0,28.4,1
361,5.0,2.0,0.1,23.7,23.1,56.0,28.4,1
362,1.0,1.0,0.1,24.7,23.1,65.0,21.9,-2
363,1.0,1.0,0.1,24.7,23.1,65.0,21.9,-1
364,5.0,2.0,0.1,24.7,23.1,65.0,21.9,0
365,1.0,2.0,0.1,24.7,23.1,65.0,21.9,-1
366,3.0,1.0,0.1,24.7,23.1,65.0,21.9,-1
370,1.0,2.0,0.1,24.7,23.1,65.0,21.9,-2
371,1.0,1.0,0.1,24.7,23.1,65.0,21.9,0
374,2.0,1.0,0.1,24.7,23.1,65.0,21.9,0
375,2.0,2.0,0.1,24.7,23.1,65.0,21.9,-1
376,1.0,2.0,0.1,24.7,23.1,65.0,21.9,0
383,6.0,2.0,0.1,24.7,23.1,65.0,21.9,-1
385,2.0,1.0,0.1,24.7,23.1,65.0,21.9,-1
388,2.0,2.0,0.1,24.7,23.1,65.0,21.9,0
418,3.0,2.0,0.1,24.7,23.1,65.0,21.9,-1
422,2.0,2.0,0.1,24.7,23.1,65.0,21.9,1
431,2.0,1.0,0.1,18.53,23.1,38.0,13.65,0
432,1.0,1.0,0.1,18.53,23.1,38.0,13.65,0
433,1.0,2.0,0.1,18.53,23.1,38.0,13.65,0
438,2.0,2.0,0.1,18.53,23.1,38.0,13.65,0
442,2.0,1.0,0.1,18.53,23.1,38.0,13.65,1
446,6.0,1.0,0.1,18.53,23.1,38.0,13.65,0
449,1.0,1.0,0.1,18.53,23.1,38.0,13.65,1
454,3.0,1.0,0.1,18.53,23.1,38.0,13.65,0
460,4.0,1.0,0.1,18.53,23.1,38.0,13.65,-1
462,3.0,2.0,0.1,18.53,23.1,38.0,13.65,0
463,2.0,2.0,0.1,23.03,23.1,37.8,18.24,0
464,2.0,2.0,0.1,23.03,23.1,37.8,18.24,1
466,2.0,2.0,0.1,23.03,23.1,37.8,18.24,-1
467,1.0,1.0,0.1,23.03,23.1,37.8,18.24,0
468,3.0,2.0,0.1,23.03,23.1,37.8,18.24,0
470,1.0,2.0,0.1,23.03,23.1,37.8,18.24,0
475,2.0,1.0,0.1,23.03,23.1,37.8,18.24,0
482,1.0,2.0,0.1,23.03,23.1,37.8,18.24,-1
483,1.0,1.0,0.05,25.2,25.2,64.0,16.0,0
484,1.0,2.0,0.05,25.2,25.2,64.0,16.0,0
486,2.0,2.0,0.05,25.2,25.2,64.0,16.0,0
492,1.0,2.0,0.05,25.2,25.2,64.0,16.0,1
496,2.0,2.0,0.05,25.2,25.2,64.0,16.0,1
497,2.0,1.0,0.05,25.2,25.2,64.0,16.0,0
500,3.0,2.0,0.05,25.2,25.2,64.0,16.0,0
504,6.0,2.0,0.05,25.2,25.2,64.0,16.0,0
516,2.0,2.0,0.05,25.2,25.2,64.0,16.0,-1
523,2.0,1.0,0.05,25.2,25.2,64.0,16.0,-1
530,2.0,2.0,0.1,23.7,23.1,65.0,16.7,0
531,3.0,2.0,0.1,23.7,23.1,65.0,16.7,0
534,3.0,1.0,0.1,23.7,23.1,68.0,15.8,0
535,3.0,2.0,0.1,23.7,23.1,68.0,15.8,-1
536,2.0,1.0,0.1,23.7,23.1,68.0,15.8,-2
537,2.0,1.0,0.1,23.7,23.1,68.0,15.8,0
538,2.0,2.0,0.1,23.7,23.1,68.0,15.8,-1
539,2.0,1.0,0.1,23.7,23.1,68.0,15.8,-1
542,5.0,1.0,0.1,23.7,23.1,68.0,15.8,0
545,2.0,2.0,0.1,23.7,23.1,68.0,15.8,0
547,3.0,2.0,0.1,23.7,23.1,68.0,15.8,0
552,3.0,1.0,0.1,23.7,23.1,68.0,15.8,-1
556,4.0,1.0,0.1,23.7,23.1,68.0,15.8,0
557,2.0,2.0,0.1,23.7,23.1,63.0,13.3,1
558,2.0,1.0,0.1,23.7,23.1,63.0,13.3,-1
559,1.0,1.0,0.1,23.7,23.1,63.0,13.3,-1
560,2.0,2.0,0.1,23.7,23.1,63.0,13.3,-1
561,2.0,1.0,0.1,23.7,23.1,63.0,13.3,0
562,1.0,2.0,0.1,23.7,23.1,63.0,13.3,0
563,1.0,1.0,0.1,23.7,23.1,63.0,13.3,0
564,1.0,1.0,0.1,23.7,23.1,63.0,13.3,1
567,6.0,2.0,0.1,23.7,23.1,63.0,13.3,0
569,3.0,2.0,0.1,23.7,23.1,63.0,13.3,0
575,1.0,2.0,0.1,23.7,23.1,63.0,13.3,-2
578,2.0,2.0,0.1,23.7,23.1,63.0,13.3,0
583,1.0,2.0,0.1,23.7,23.1,63.0,13.3,-1
586,2.0,2.0,0.1,23.7,23.1,55.0,24.5,0
587,3.0,1.0,0.1,23.7,23.1,55.0,24.5,-1
589,3.0,2.0,0.1,23.7,23.1,55.0,24.5,0
590,1.0,1.0,0.1,23.7,23.1,55.0,24.5,0
592,1.0,2.0,0.1,23.7,23.1,55.0,24.5,-1
593,1.0,1.0,0.1,23.7,23.1,55.0,24.5,-1
596,1.0,1.0,0.1,23.7,23.1,92.0,19.7,-1
597,1.0,2.0,0.1,23.7,23.1,92.0,19.7,0
601,1.0,1.0,0.1,23.7,23.1,92.0,19.7,0
607,1.0,2.0,0.1,23.7,23.1,92.0,19.7,-1
612,2.0,2.0,0.1,23.7,23.1,61.5,21.1,0
613,1.0,2.0,0.1,23.7,23.1,61.5,21.1,0
615,2.0,1.0,0.1,23.7,23.1,61.5,21.1,0
618,1.0,1.0,0.1,23.7,23.1,61.5,21.1,0
621,3.0,1.0,0.1,23.7,23.1,61.5,21.1,0
622,4.0,2.0,0.1,23.7,23.1,61.5,21.1,0
629,1.0,2.0,0.1,23.7,23.1,61.5,21.1,1
633,6.0,2.0,0.1,23.7,23.1,55.0,22.4,0
634,2.0,2.0,0.1,23.7,23.1,55.0,22.4,-1
635,1.0,1.0,0.1,23.7,23.1,55.0,22.4,0
637,2.0,1.0,0.1,23.7,23.1,55.0,22.4,0
640,3.0,2.0,0.1,23.7,23.1,55.0,22.4,0
641,2.0,2.0,0.1,23.7,23.1,55.0,22.4,0
642,1.0,2.0,0.1,23.7,23.1,55.0,22.4,0
649,5.0,1.0,0.1,23.7,23.1,55.0,22.4,0
650,3.0,1.0,0.1,23.7,23.1,55.0,22.4,0
651,2.0,1.0,0.1,23.7,23.1,55.0,22.4,-1
652,2.0,2.0,0.1,23.7,23.1,77.0,27.7,0
653,1.0,1.0,0.1,23.7,23.1,77.0,27.7,0
654,2.0,1.0,0.1,23.7,23.1,77.0,27.7,0
655,2.0,2.0,0.1,23.7,23.1,77.0,27.7,1
657,4.0,2.0,0.1,23.7,23.1,77.0,27.7,0
658,1.0,2.0,0.1,23.7,23.1,77.0,27.7,0
660,4.0,2.0,0.1,23.7,23.1,77.0,27.7,1
668,1.0,2.0,0.1,23.7,23.1,77.0,27.7,2
670,1.0,2.0,0.1,23.7,23.1,77.0,27.7,1
673,3.0,1.0,0.1,23.7,23.1,77.0,27.7,0
677,2.0,2.0,0.1,23.7,23.1,71.0,29.5,0
680,2.0,2.0,0.1,23.7,23.1,71.0,29.5,-1
681,2.0,1.0,0.1,23.7,23.1,71.0,29.5,-1
682,2.0,1.0,0.1,23.7,23.1,71.0,29.5,0
683,3.0,2.0,0.1,23.7,23.1,71.0,29.5,0
686,1.0,1.0,0.1,23.7,23.1,97.0,25.0,-1
687,1.0,2.0,0.1,23.7,23.1,97.0,25.0,0
688,2.0,2.0,0.1,23.7,23.1,97.0,25.0,-1
692,3.0,2.0,0.1,23.7,23.1,97.0,25.0,-1
693,2.0,2.0,0.1,23.7,23.1,97.0,25.0,0
694,1.0,2.0,0.1,23.7,23.1,97.0,25.0,-1
695,2.0,1.0,0.1,23.7,23.1,97.0,25.0,0
713,1.0,2.0,0.1,23.7,23.1,76.0,27.0,0
715,2.0,1.0,0.1,23.7,23.1,76.0,27.0,-1
716,2.0,2.0,0.1,23.7,23.1,76.0,27.0,-1
717,2.0,1.0,0.1,23.7,23.1,76.0,27.0,0
718,1.0,2.0,0.1,23.7,23.1,76.0,27.0,-1
725,2.0,2.0,0.1,23.7,23.1,76.0,27.0,0
728,2.0,1.0,0.1,23.7,23.1,59.0,30.0,0
729,2.0,2.0,0.1,23.7,23.1,59.0,30.0,0
732,1.0,2.0,0.1,23.7,23.1,69.0,17.4,0
733,2.0,1.0,0.1,23.7,23.1,69.0,17.4,0
734,2.0,1.0,0.1,23.7,23.1,69.0,17.4,-1
735,1.0,2.0,0.1,23.7,23.1,69.0,17.4,-1
737,3.0,2.0,0.1,23.7,23.1,69.0,17.4,-1
738,3.0,2.0,0.1,23.7,23.1,69.0,17.4,0
739,3.0,1.0,0.1,23.7,23.1,69.0,17.4,0
740,6.0,2.0,0.1,23.7,23.1,69.0,17.4,0
741,2.0,2.0,0.1,23.7,23.1,69.0,17.4,0
742,2.0,2.0,0.1,23.7,23.1,69.0,17.4,-1
743,1.0,1.0,0.1,23.7,23.1,91.0,11.7,0
744,1.0,1.0,0.1,23.7,23.1,91.0,11.7,-1
745,1.0,2.0,0.1,23.7,23.1,91.0,11.7,-1
746,2.0,2.0,0.1,23.7,23.1,91.0,11.7,0
747,1.0,2.0,0.1,23.7,23.1,91.0,11.7,0
748,2.0,2.0,0.1,23.7,23.1,91.0,11.7,-1
749,3.0,1.0,0.1,23.7,23.1,91.0,11.7,0
752,2.0,1.0,0.1,23.7,23.1,91.0,11.7,1
753,2.0,2.0,0.1,23.7,23.1,82.0,12.0,2
754,2.0,2.0,0.1,23.7,23.1,82.0,12.0,-1
755,1.0,2.0,0.1,23.7,23.1,82.0,12.0,-1
757,2.0,1.0,0.1,23.7,23.1,82.0,12.0,-1
758,4.0,1.0,0.1,23.7,23.1,82.0,12.0,-1
761,1.0,1.0,0.1,23.7,23.1,82.0,12.0,0
762,1.0,1.0,0.1,23.7,23.1,82.0,12.0,-1
764,1.0,2.0,0.1,23.7,23.1,82.0,12.0,0
765,2.0,2.0,0.1,23.7,23.1,82.0,12.0,1
766,2.0,2.0,0.1,23.7,23.1,82.0,12.0,0
770,2.0,1.0,0.1,23.7,23.1,82.0,12.0,0
774,3.0,2.0,0.1,23.7,23.1,82.0,12.0,-1
778,1.0,2.0,0.1,23.7,23.1,82.0,12.0,1
781,2.0,2.0,0.1,23.7,23.1,67.0,12.0,-1
782,2.0,2.0,0.1,23.7,23.1,67.0,12.0,0
783,1.0,2.0,0.1,23.7,23.1,67.0,12.0,-1
785,1.0,2.0,0.1,23.7,23.1,67.0,12.0,0
786,2.0,1.0,0.1,23.7,23.1,67.0,12.0,-1
788,3.0,2.0,0.1,23.7,23.1,67.0,12.0,-1
792,2.0,2.0,0.1,23.7,23.1,67.0,12.0,-2
795,2.0,1.0,0.1,23.7,23.1,67.0,12.0,0
805,1.0,1.0,0.03,21.875,21.9,82.0,14.0,0
806,1.0,2.0,0.03,21.875,21.9,82.0,14.0,-1
807,2.0,2.0,0.03,21.875,21.9,82.0,14.0,0
808,2.0,1.0,0.03,21.875,21.9,82.0,14.0,0
809,2.0,1.0,0.03,21.875,21.9,82.0,14.0,-2
811,2.0,1.0,0.03,21.875,21.9,82.0,14.0,-1
813,1.0,2.0,0.03,21.875,21.9,82.0,14.0,0
814,2.0,2.0,0.03,21.875,21.9,82.0,14.0,-1
819,2.0,2.0,0.03,21.875,21.9,82.0,14.0,2
820,2.0,2.0,0.03,21.875,21.9,82.0,14.0,1
827,2.0,1.0,0.03,21.875,21.9,82.0,14.0,1
829,2.0,2.0,0.05,23.25,23.1,88.0,15.0,0
830,2.0,2.0,0.05,23.25,23.1,88.0,15.0,-1
832,3.0,2.0,0.05,23.25,23.1,88.0,15.0,0
833,2.0,1.0,0.05,23.25,23.1,88.0,15.0,-1
836,2.0,1.0,0.05,23.25,23.1,88.0,15.0,1
837,2.0,1.0,0.05,23.25,23.1,88.0,15.0,0
838,2.0,2.0,0.05,23.25,23.1,88.0,15.0,1
849,3.0,2.0,0.05,23.25,23.1,88.0,15.0,1
856,2.0,2.0,0.05,23.25,23.1,88.0,15.0,2
860,1.0,2.0,0.05,23.25,23.1,88.0,15.0,-1
872,1.0,2.0,0.1,23.7,23.1,20.0,12.0,0
873,1.0,1.0,0.1,23.7,23.1,20.0,12.0,0
874,1.0,2.0,0.1,23.7,23.1,20.0,12.0,-1
878,1.0,1.0,0.1,23.7,23.1,20.0,12.0,-1
881,2.0,1.0,0.1,23.7,23.1,20.0,12.0,2
882,2.0,2.0,0.1,23.7,23.1,20.0,12.0,0
893,1.0,2.0,0.1,23.7,23.1,7.0,25.0,0
895,1.0,1.0,0.1,23.7,23.1,7.0,25.0,0
896,1.0,1.0,0.1,23.7,23.1,7.0,25.0,1
900,2.0,1.0,0.1,23.7,23.1,7.0,25.0,0
903,2.0,2.0,0.1,23.7,23.1,7.0,25.0,0
904,1.0,2.0,0.1,23.7,23.1,7.0,25.0,2
906,1.0,2.0,0.1,23.7,23.1,7.0,25.0,-1
908,2.0,2.0,0.1,23.7,23.1,7.0,25.0,-1
911,1.0,1.0,0.1,23.7,23.1,40.0,30.0,0
912,1.0,2.0,0.1,23.7,23.1,40.0,30.0,0
913,2.0,2.0,0.1,23.7,23.1,40.0,30.0,0
915,2.0,1.0,0.1,23.7,23.1,40.0,30.0,-1
917,2.0,1.0,0.1,23.7,23.1,40.0,30.0,0
919,1.0,1.0,0.1,23.7,23.1,40.0,30.0,-1
922,1.0,2.0,0.1,23.7,23.1,40.0,30.0,-1
926,1.0,1.0,0.1,23.7,23.1,36.0,25.0,-1
927,1.0,1.0,0.1,23.7,23.1,36.0,25.0,0
930,1.0,2.0,0.1,23.7,23.1,36.0,25.0,0
936,2.0,1.0,0.1,23.7,23.1,36.0,25.0,0
937,1.0,2.0,0.1,23.7,23.1,36.0,25.0,2
941,2.0,1.0,0.1,23.7,23.1,36.0,25.0,-1
942,1.0,2.0,0.1,23.7,23.1,36.0,25.0,-1
943,2.0,2.0,0.1,23.7,23.1,36.0,25.0,-1
944,1.0,2.0,0.1,23.7,23.1,36.0,-9.0,-2
945,1.0,2.0,0.1,23.7,23.1,36.0,-9.0,0
951,1.0,1.0,0.1,23.7,23.1,36.0,-9.0,0
953,1.0,2.0,0.1,23.7,23.1,36.0,-9.0,1
955,1.0,2.0,0.1,23.7,23.1,36.0,-9.0,-1
958,2.0,2.0,0.1,23.7,23.1,36.0,-9.0,0
962,2.0,2.0,0.1,23.7,23.1,25.0,14.0,0
963,2.0,1.0,0.1,23.7,23.1,25.0,14.0,0
964,1.0,1.0,0.1,23.7,23.1,25.0,14.0,0
968,1.0,1.0,0.1,23.7,23.1,25.0,14.0,1
971,2.0,1.0,0.1,23.7,23.1,25.0,14.0,-1
975,3.0,2.0,0.1,23.7,23.1,25.0,14.0,0
978,1.0,2.0,0.1,23.7,23.1,25.0,14.0,0
981,3.0,1.0,0.1,23.7,23.1,25.0,14.0,-1
982,3.0,1.0,0.1,23.7,23.1,25.0,14.0,0
986,3.0,2.0,0.1,23.7,23.1,25.0,14.0,1
992,4.0,1.0,0.1,23.7,23.1,25.0,14.0,0
995,2.0,2.0,0.1,26.35,23.1,15.0,32.0,-1
996,3.0,1.0,0.1,26.35,23.1,15.0,32.0,0
998,2.0,1.0,0.1,26.35,23.1,15.0,32.0,0
999,4.0,1.0,0.1,26.35,23.1,15.0,32.0,0
1002,3.0,2.0,0.1,26.35,23.1,15.0,32.0,-1
1004,2.0,2.0,0.1,26.35,23.1,15.0,32.0,0
1010,3.0,2.0,0.1,26.35,23.1,15.0,32.0,0
1011,2.0,1.0,0.1,26.35,23.1,15.0,32.0,-1
1024,1.0,1.0,0.1,26.35,23.1,15.0,32.0,0
1025,1.0,2.0,0.1,26.35,23.1,15.0,32.0,-1
1032,4.0,2.0,0.1,26.35,23.1,15.0,32.0,-1
1034,1.0,2.0,0.1,26.35,23.1,15.0,32.0,0
1038,3.0,1.0,0.1,26.35,23.1,15.0,32.0,-1
1039,4.0,1.0,0.1,23.7,23.1,28.5,35.8,-1
1040,1.0,1.0,0.1,23.7,23.1,28.5,35.8,0
1041,1.0,1.0,0.1,23.7,23.1,28.5,35.8,2
1042,1.0,2.0,0.1,23.7,23.1,28.5,35.8,0
1045,1.0,2.0,0.1,23.7,23.1,28.5,35.8,2
1051,1.0,1.0,0.1,23.7,23.1,28.5,35.8,1
1052,2.0,1.0,0.1,23.7,23.1,28.5,35.8,0
1054,2.0,1.0,0.1,23.7,23.1,28.5,35.8,2
1064,2.0,2.0,0.1,23.7,23.1,23.3,40.8,-1
1065,4.0,1.0,0.1,23.7,23.1,23.3,40.8,-1
1066,3.0,1.0,0.1,23.7,23.1,23.3,40.8,-1
1068,3.0,1.0,0.1,23.7,23.1,23.3,40.8,0
1069,2.0,1.0,0.1,23.7,23.1,23.3,40.8,-1
1070,3.0,2.0,0.1,23.7,23.1,23.3,40.8,0
1072,1.0,1.0,0.1,23.7,23.1,48.3,32.8,2
1075,3.0,1.0,0.1,23.7,23.1,48.3,32.8,0
1077,1.0,1.0,0.1,23.7,23.1,48.3,32.8,1
1078,2.0,2.0,0.1,23.7,23.1,48.3,32.8,2
1081,1.0,2.0,0.1,23.7,23.1,48.3,32.8,2
1084,2.0,2.0,0.1,22.4,23.1,54.0,14.1,-1
1085,6.0,2.0,0.1,22.4,23.1,54.0,14.1,-1
1086,3.0,1.0,0.1,22.4,23.1,54.0,14.1,-1
1089,4.0,2.0,0.1,22.4,23.1,54.0,14.1,0
1091,3.0,2.0,0.1,22.4,23.1,54.0,14.1,-1
1094,3.0,1.0,0.1,22.4,23.1,54.0,14.1,0
1095,3.0,2.0,0.1,22.4,23.1,54.0,14.1,0
1101,5.0,2.0,0.1,22.4,23.1,54.0,14.1,-1
1104,6.0,2.0,0.1,22.4,23.1,54.0,14.1,0
1110,4.0,2.0,0.1,22.4,23.1,54.0,14.1,1
1113,2.0,1.0,0.1,22.4,23.1,54.0,14.1,-1
1114,4.0,1.0,0.1,22.4,23.1,54.0,14.1,1
1115,4.0,1.0,0.1,22.4,23.1,54.0,14.1,-1
1116,5.0,2.0,0.1,22.4,23.1,54.0,14.1,0
1119,5.0,1.0,0.1,22.4,23.1,54.0,14.1,-1
1120,5.0,1.0,0.1,22.4,23.1,54.0,14.1,0
1123,4.0,1.0,0.03,20.5,23.1,31.0,22.7,-1
1124,3.0,2.0,0.03,20.5,23.1,31.0,22.7,0
1125,2.0,1.0,0.03,20.5,23.1,31.0,22.7,-1
1126,2.0,1.0,0.03,20.5,23.1,31.0,22.7,0
1128,2.0,2.0,0.03,20.5,23.1,31.0,22.7,0
1130,2.0,2.0,0.03,20.5,23.1,31.0,22.7,-1
1131,2.0,2.0,0.1,21.9,23.1,75.0,14.1,0
1133,2.0,1.0,0.1,21.9,23.1,75.0,14.1,0
1134,2.0,1.0,0.1,21.9,23.1,75.0,14.1,-1
1136,2.0,2.0,0.1,21.9,23.1,75.0,14.1,-1
1145,2.0,1.0,0.1,21.9,23.1,75.0,14.1,-2
1146,1.0,2.0,0.1,21.9,23.1,75.0,14.1,-2
1152,2.0,2.0,0.1,21.9,23.1,75.0,14.1,-2
1159,3.0,2.0,0.1,21.9,23.1,75.0,14.1,-2
1172,1.0,1.0,0.1,22.0,23.1,60.0,14.5,0
1174,1.0,2.0,0.1,22.0,23.1,60.0,14.5,-1
1175,1.0,2.0,0.1,22.0,23.1,60.0,14.5,0
1180,1.0,1.0,0.1,22.0,23.1,60.0,14.5,-1
1191,2.0,1.0,0.1,22.0,23.1,60.0,14.5,-1
1203,1.0,1.0,0.1,22.8,23.1,36.0,20.4,0
1204,1.0,2.0,0.1,22.8,23.1,36.0,20.4,-1
1208,1.0,2.0,0.1,22.8,23.1,36.0,20.4,0
1216,1.0,2.0,0.1,22.8,23.1,36.0,20.4,1
1237,1.0,1.0,0.1,22.8,23.1,36.0,20.4,1
1244,1.0,2.0,0.1,23.7,23.1,39.0,30.43,1
1245,1.0,1.0,0.1,23.7,23.1,39.0,30.43,2
1246,2.0,2.0,0.1,23.7,23.1,39.0,30.43,0
1247,3.0,2.0,0.1,23.7,23.1,39.0,30.43,0
1248,1.0,1.0,0.1,23.7,23.1,39.0,30.43,0
1249,1.0,1.0,0.1,23.7,23.1,39.0,30.43,1
1250,1.0,1.0,0.1,23.7,23.1,39.0,30.43,-1
1251,2.0,2.0,0.1,23.7,23.1,39.0,30.43,1
1254,4.0,1.0,0.1,23.7,23.1,39.0,30.43,1
1266,2.0,1.0,0.1,23.7,23.1,39.0,30.43,1
1269,1.0,2.0,0.1,23.7,23.1,39.0,30.43,0
1284,3.0,1.0,0.1,23.7,23.1,88.14,19.46,-1
1285,2.0,1.0,0.1,23.7,23.1,88.14,19.46,0
1289,2.0,1.0,0.1,23.7,23.1,88.14,19.46,-1
1294,2.0,2.0,0.1,23.7,23.1,88.14,19.46,0
1295,2.0,2.0,0.1,23.7,23.1,99.73,3.88,0
1296,2.0,2.0,0.1,23.7,23.1,99.73,3.88,-2
1297,1.0,2.0,0.1,23.7,23.1,99.73,3.88,0
1298,1.0,1.0,0.1,23.7,23.1,99.73,3.88,-1
1300,2.0,1.0,0.1,23.7,23.1,99.73,3.88,-1
1303,2.0,1.0,0.1,23.7,23.1,99.73,3.88,0
1304,1.0,1.0,0.1,23.7,23.1,99.73,3.88,0
1307,2.0,1.0,0.1,23.7,23.1,99.73,3.88,1
1312,1.0,1.0,0.1,23.7,23.1,99.73,3.88,1
1319,1.0,2.0,0.1,23.7,23.1,99.73,3.88,1
1330,2.0,2.0,0.1,23.7,23.1,99.73,3.88,-1
1345,1.0,2.0,0.1,23.7,23.1,99.73,3.88,-1
1352,2.0,2.0,0.1,23.7,23.1,88.0,8.3,0
1353,1.0,1.0,0.1,23.7,23.1,88.0,8.3,-1
1354,1.0,2.0,0.1,23.7,23.1,88.0,8.3,0
1358,1.0,1.0,0.1,23.7,23.1,88.0,8.3,0
1361,3.0,1.0,0.1,23.7,23.1,88.0,8.3,0
1364,3.0,2.0,0.1,23.7,23.1,88.0,8.3,1
1366,3.0,2.0,0.1,23.7,23.1,88.0,8.3,0
1369,2.0,1.0,0.1,23.7,23.1,88.0,8.3,0
1373,4.0,2.0,0.1,23.7,23.1,88.0,8.3,0
1375,1.0,2.0,0.1,23.7,23.1,88.0,8.3,-1
1376,1.0,1.0,0.1,23.7,23.1,88.0,8.3,1
1378,2.0,1.0,0.1,23.7,23.1,88.0,8.3,-1
1383,4.0,1.0,0.1,23.7,23.1,88.0,8.3,0
