,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Outdoor monthly air temperature (¡C),Thermal sensation
7120,2.0,2.0,0.1,23.7,23.1,93.0,-2.0,-1
7121,1.0,1.0,0.1,23.7,23.1,93.0,-2.0,-1
7122,4.0,2.0,0.1,23.7,23.1,93.0,-2.0,0
7124,1.0,2.0,0.1,23.7,23.1,93.0,-2.0,-1
7126,2.0,1.0,0.1,23.7,23.1,93.0,-2.0,-1
7132,2.0,2.0,0.1,23.7,23.1,93.0,-2.0,0
7139,6.0,2.0,0.1,23.7,23.1,93.0,-2.0,-1
7140,1.0,2.0,0.1,23.7,23.1,93.0,-2.0,0
7143,3.0,2.0,0.1,23.7,23.1,93.0,-2.0,0
7152,2.0,1.0,0.1,23.7,23.1,93.0,-2.0,0
7154,1.0,2.0,0.1,23.7,23.1,67.0,-10.0,0
7155,2.0,2.0,0.1,23.7,23.1,67.0,-10.0,0
7156,4.0,1.0,0.1,23.7,23.1,67.0,-10.0,0
7159,3.0,2.0,0.1,23.7,23.1,67.0,-10.0,0
7161,1.0,2.0,0.1,23.7,23.1,67.0,-10.0,1
7162,2.0,2.0,0.1,23.7,23.1,67.0,-10.0,-1
7164,4.0,2.0,0.1,23.7,23.1,67.0,-10.0,0
7178,5.0,2.0,0.1,23.7,23.1,67.0,-10.0,0
7181,3.0,1.0,0.1,23.7,23.1,67.0,-10.0,-1
7185,1.0,2.0,0.1,23.7,23.1,67.0,-10.0,-1
7195,3.0,2.0,0.1,23.7,23.1,67.0,-10.0,-1
7208,2.0,1.0,0.1,23.7,23.1,67.0,-10.0,0
7217,2.0,1.0,0.1,23.7,23.1,67.0,-10.0,-1
7223,3.0,1.0,0.1,23.0,23.1,67.0,15.0,-1
7224,3.0,2.0,0.1,23.0,23.1,67.0,15.0,-1
7225,2.0,1.0,0.1,23.0,23.1,67.0,15.0,0
7226,2.0,2.0,0.1,23.0,23.1,67.0,15.0,0
7229,1.0,1.0,0.1,23.0,23.1,67.0,15.0,-1
7230,1.0,2.0,0.1,23.0,23.1,67.0,15.0,0
7231,6.0,1.0,0.1,23.0,23.1,67.0,15.0,0
7233,2.0,2.0,0.1,23.0,23.1,67.0,15.0,-1
7234,3.0,1.0,0.1,23.0,23.1,67.0,15.0,0
7235,4.0,2.0,0.1,23.0,23.1,67.0,15.0,-1
7238,3.0,2.0,0.1,23.0,23.1,67.0,15.0,0
7242,2.0,2.0,0.1,23.0,23.1,67.0,15.0,1
7243,2.0,1.0,0.1,23.0,23.1,67.0,15.0,-1
7258,3.0,1.0,0.1,23.0,23.1,67.0,15.0,1
7274,2.0,1.0,0.1,19.0,23.1,78.0,8.0,-1
7275,6.0,2.0,0.1,19.0,23.1,78.0,8.0,-1
7276,3.0,1.0,0.1,19.0,23.1,78.0,8.0,-1
7277,1.0,1.0,0.1,19.0,23.1,78.0,8.0,-1
7279,1.0,1.0,0.1,19.0,23.1,78.0,8.0,0
7280,2.0,2.0,0.1,19.0,23.1,78.0,8.0,0
7282,1.0,2.0,0.1,19.0,23.1,78.0,8.0,-1
7285,2.0,1.0,0.1,19.0,23.1,78.0,8.0,0
7288,2.0,2.0,0.1,19.0,23.1,78.0,8.0,-1
7295,4.0,1.0,0.1,19.0,23.1,78.0,8.0,-1
7297,3.0,1.0,0.1,19.0,23.1,78.0,8.0,0
7300,3.0,2.0,0.1,19.0,23.1,78.0,8.0,-1
7304,1.0,2.0,0.1,19.0,23.1,78.0,8.0,0
7308,2.0,1.0,0.1,19.0,23.1,78.0,8.0,-2
7331,6.0,1.0,0.1,19.0,23.1,78.0,8.0,-2
7338,3.0,2.0,0.1,19.0,23.1,78.0,8.0,0
