,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Clo,Met,Outdoor monthly air temperature (¡C),Thermal sensation
87171,31.0,2.0,0.2,23.1,27.3,44.3,0.38,1.13,13.4,0.0
87172,38.0,2.0,0.1,22.4,24.0,58.2,0.44,1.35,13.4,0.0
87173,52.0,1.0,0.3,24.5,24.8,50.5,0.65,1.44,13.4,-0.0
87174,38.0,1.0,0.03,23.3,23.6,55.7,0.57,1.4,13.4,0.0
87175,18.0,2.0,0.24,21.9,21.9,56.3,1.01,1.06,13.4,-0.0
87176,31.0,1.0,0.18,26.4,27.9,69.6,0.55,1.06,13.4,1.0
87177,38.0,2.0,0.15,23.5,22.8,46.7,0.51,1.36,13.4,-0.0
87178,31.0,2.0,0.1,23.0,23.8,58.8,0.59,1.35,13.4,-1.0
87179,52.0,1.0,0.12,23.0,23.9,58.8,0.54,1.22,13.4,-1.0
87180,38.0,2.0,0.12,23.5,24.4,46.1,0.53,1.06,13.4,-0.0
87181,38.0,2.0,0.1,24.5,23.3,55.6,0.44,1.29,13.4,-0.0
87182,31.0,2.0,0.12,24.5,23.0,50.5,0.38,1.06,13.4,-1.0
87183,38.0,1.0,0.14,22.3,24.4,67.4,0.47,1.24,13.4,0.0
87184,52.0,1.0,0.14,24.1,24.1,65.3,0.47,1.19,13.4,-1.0
87185,38.0,1.0,0.07,24.3,25.0,56.7,0.47,1.39,13.4,0.0
87186,60.0,2.0,0.1,24.1,23.7,65.3,0.54,1.06,13.4,0.0
87188,31.0,2.0,0.13,22.5,21.2,52.1,0.44,1.35,13.4,-0.0
87189,52.0,1.0,0.11,22.9,22.9,53.2,0.78,1.09,13.4,-2.0
87190,38.0,2.0,0.08,22.5,22.9,58.3,0.46,1.2,13.4,-1.0
87227,38.0,1.0,0.06,23.9,23.9,56.9,0.69,1.06,13.4,1.0
87228,38.0,1.0,0.13,22.5,24.1,66.1,0.75,1.2,13.4,0.0
87229,24.0,1.0,0.09,22.5,23.9,66.1,0.64,1.06,13.4,0.0
87230,52.0,1.0,0.08,22.3,22.9,67.4,0.67,1.13,13.4,-1.0
87231,24.0,1.0,0.06,23.4,23.4,59.2,0.64,1.07,13.4,1.0
87232,31.0,1.0,0.06,23.4,23.4,59.2,0.74,1.06,13.4,1.0
87233,24.0,2.0,0.06,23.4,23.2,57.1,0.53,1.06,13.4,0.0
87234,31.0,2.0,0.06,23.5,23.1,56.6,0.61,1.06,13.4,-1.0
87235,31.0,1.0,0.09,24.1,23.5,54.5,0.67,1.09,13.4,-0.0
87236,31.0,1.0,0.11,23.6,23.6,57.3,0.64,1.31,13.4,-1.0
87237,24.0,2.0,0.05,23.3,23.6,57.7,0.53,1.06,13.4,2.0
87238,45.0,1.0,0.15,24.5,24.3,37.7,0.64,1.26,13.4,0.0
87239,24.0,1.0,0.06,23.4,23.4,59.2,0.64,1.13,13.4,0.0
87240,38.0,1.0,0.08,23.7,23.7,56.8,0.62,1.28,13.4,-1.0
87241,24.0,1.0,0.08,24.0,23.6,56.4,0.69,1.13,13.4,0.0
87242,24.0,2.0,0.11,22.8,23.2,59.3,0.45,1.06,13.4,0.0
87243,52.0,1.0,0.07,24.9,24.9,57.3,0.67,1.36,13.4,0.0
87244,38.0,1.0,0.11,25.4,25.6,55.2,0.83,1.16,13.4,2.0
87245,24.0,1.0,0.09,24.8,24.8,57.8,0.69,1.2,13.4,1.0
87246,24.0,2.0,0.07,25.8,25.6,53.7,0.47,1.13,13.4,-0.0
87247,24.0,1.0,0.08,24.8,24.8,57.8,0.67,1.06,13.4,2.0
87248,31.0,1.0,0.06,25.5,26.6,55.3,0.64,1.17,13.4,2.0
87249,52.0,1.0,0.25,24.7,24.7,58.4,0.64,1.06,13.4,0.0
87250,31.0,1.0,0.09,26.0,26.8,54.5,0.64,1.36,13.4,2.0
87251,52.0,1.0,0.22,23.8,24.9,60.9,0.79,1.2,13.4,2.0
87252,24.0,1.0,0.07,25.5,26.1,54.6,0.69,1.06,13.4,2.0
87253,52.0,1.0,0.14,24.4,24.6,52.2,0.73,1.2,13.4,-1.0
87254,31.0,1.0,0.08,24.4,25.6,53.5,0.64,1.13,13.4,2.0
87255,60.0,1.0,0.06,24.7,24.2,55.1,0.64,1.34,13.4,0.0
87256,24.0,1.0,0.06,24.6,25.5,53.7,0.64,1.06,13.4,-0.0
87257,52.0,1.0,0.16,25.4,26.4,53.9,0.67,1.06,13.4,1.0
87258,45.0,1.0,0.14,25.4,26.3,51.4,0.83,1.13,13.4,1.0
87259,24.0,2.0,0.05,24.8,25.1,53.9,0.48,1.06,13.4,1.0
87260,38.0,1.0,0.11,25.6,25.6,51.0,0.64,1.2,13.4,1.0
87261,31.0,1.0,0.05,25.1,25.4,54.9,0.64,1.06,13.4,2.0
87262,38.0,1.0,0.21,24.7,25.5,55.1,0.64,1.13,13.4,1.0
87263,31.0,2.0,0.06,25.3,25.5,53.2,0.5,1.06,13.4,1.0
87264,18.0,2.0,0.13,26.0,25.6,51.4,0.43,1.52,13.4,1.0
87265,31.0,1.0,0.03,26.2,26.7,35.0,0.98,1.24,13.4,1.0
87266,31.0,1.0,0.11,21.8,22.9,40.6,0.62,1.06,13.4,0.0
87267,24.0,2.0,0.06,26.4,26.9,32.1,0.45,1.13,13.4,2.0
87268,31.0,2.0,0.09,23.4,23.0,37.3,0.65,1.37,13.4,-1.0
87269,31.0,1.0,0.07,26.4,26.6,32.6,0.79,1.04,13.4,1.0
87270,38.0,1.0,0.1,26.4,26.6,33.7,0.75,1.33,13.4,2.0
87271,24.0,1.0,0.15,24.4,26.0,35.2,0.69,1.06,13.4,1.0
87272,38.0,1.0,0.06,21.5,21.5,39.5,0.62,1.13,13.4,1.0
87273,24.0,1.0,0.09,24.5,25.7,34.8,0.69,1.11,13.4,-0.0
87274,31.0,1.0,0.09,24.8,25.4,34.7,0.69,1.2,13.4,0.0
87275,31.0,1.0,0.11,24.4,26.1,30.7,0.73,1.22,13.4,1.0
87276,45.0,1.0,0.09,23.7,25.1,35.9,0.67,1.13,13.4,-0.0
87277,45.0,1.0,0.07,24.3,25.8,32.8,0.69,1.09,13.4,1.0
87278,24.0,2.0,0.03,22.1,24.2,34.7,0.27,1.06,13.4,1.0
87279,38.0,2.0,0.06,23.4,23.9,41.0,0.37,1.18,13.4,-1.0
87280,38.0,1.0,0.09,22.4,22.6,35.2,0.78,1.06,13.4,-0.0
87281,31.0,1.0,0.15,22.0,22.2,36.4,0.79,1.17,13.4,0.0
87282,18.0,1.0,0.26,23.4,24.8,30.8,0.79,1.06,13.4,-1.0
87283,24.0,2.0,0.06,22.7,23.2,30.8,0.75,1.25,13.4,0.0
87284,31.0,1.0,0.18,22.7,23.9,29.6,0.69,1.13,13.4,-0.0
87285,45.0,1.0,0.05,21.0,21.8,35.4,0.85,1.32,13.4,-0.0
87286,24.0,2.0,0.07,23.1,24.4,29.1,0.57,1.06,13.4,0.0
87287,31.0,1.0,0.08,21.8,21.6,34.2,0.73,1.13,13.4,-0.0
87288,38.0,1.0,0.08,21.9,22.9,36.2,0.85,1.06,13.4,0.0
87289,38.0,1.0,0.11,22.8,25.1,34.0,0.85,1.13,13.4,1.0
87290,24.0,1.0,0.05,22.0,22.8,35.8,0.75,1.09,13.4,-0.0
87291,60.0,1.0,0.05,22.5,23.2,34.1,0.8,1.06,13.4,-0.0
87292,24.0,1.0,0.05,23.4,24.4,32.5,0.89,1.06,13.4,0.0
87293,31.0,1.0,0.06,22.5,23.7,34.7,0.8,1.13,13.4,0.0
87294,38.0,1.0,0.12,23.0,23.2,33.7,0.85,1.06,13.4,1.0
87295,31.0,1.0,0.12,23.1,23.1,34.4,0.74,1.06,13.4,-1.0
87296,24.0,1.0,0.05,22.7,23.0,36.9,0.74,1.06,13.4,-1.0
87297,45.0,2.0,0.06,23.6,24.0,45.6,0.56,1.22,13.4,0.0
87298,31.0,1.0,0.05,21.7,22.5,49.8,0.73,1.13,13.4,0.0
87299,24.0,1.0,0.1,21.5,22.7,50.9,0.91,1.25,13.4,1.0
87300,38.0,1.0,0.19,23.5,24.0,44.2,0.91,1.06,13.4,-1.0
87301,24.0,1.0,0.07,22.4,22.8,48.0,0.73,1.28,13.4,1.0
87302,38.0,1.0,0.07,22.1,23.0,47.6,0.69,1.09,13.4,-0.0
87303,24.0,1.0,0.11,23.5,23.9,44.2,0.75,1.29,13.4,0.0
87304,52.0,1.0,0.06,23.0,23.9,43.6,0.85,1.06,13.4,-0.0
87305,38.0,1.0,0.13,23.4,24.5,41.6,0.79,1.06,13.4,-1.0
87306,38.0,1.0,0.09,22.8,22.8,45.2,0.79,1.06,13.4,0.0
87307,52.0,1.0,0.07,21.5,22.8,46.8,0.79,1.13,13.4,0.0
87308,31.0,1.0,0.06,23.3,26.5,43.3,0.79,1.06,13.4,1.0
87309,52.0,1.0,0.05,22.7,22.9,42.5,0.73,1.2,13.4,-0.0
87310,31.0,1.0,0.08,23.9,23.9,38.6,0.66,1.06,13.4,2.0
87311,45.0,1.0,0.13,24.6,24.2,37.3,0.69,1.06,13.4,1.0
87312,31.0,2.0,0.14,23.2,23.2,40.7,0.4,1.11,13.4,1.0
87313,24.0,1.0,0.15,24.5,24.5,37.1,0.73,1.06,13.4,0.0
87314,18.0,2.0,0.17,23.3,23.3,40.8,0.81,1.14,13.4,0.0
87315,38.0,1.0,0.11,24.4,24.6,36.4,0.69,1.06,13.4,0.0
87316,38.0,1.0,0.12,23.3,23.3,40.8,0.84,1.13,13.4,-0.0
87317,52.0,1.0,0.07,23.6,23.4,37.6,0.74,1.28,13.4,-1.0
87318,38.0,1.0,0.06,22.9,24.0,40.3,0.79,1.06,13.4,-0.0
87319,31.0,1.0,0.1,22.9,23.5,40.3,0.79,1.09,13.4,-1.0
87320,38.0,1.0,0.09,22.2,23.8,43.1,0.78,1.06,13.4,-1.0
87321,24.0,1.0,0.06,23.0,23.2,41.0,0.74,1.36,13.4,1.0
87322,38.0,1.0,0.07,23.0,23.2,41.0,1.14,1.13,13.4,0.0
87323,18.0,2.0,0.06,22.3,22.1,43.9,0.4,1.28,13.4,-1.0
87324,24.0,1.0,0.05,25.6,26.3,34.2,0.69,1.06,13.4,2.0
87325,24.0,2.0,0.16,22.8,24.5,42.0,0.43,1.11,13.4,-0.0
87326,31.0,1.0,0.06,25.3,25.7,34.9,0.69,1.06,13.4,1.0
87327,31.0,1.0,0.07,25.1,26.0,35.1,0.83,1.09,13.4,0.0
87328,52.0,1.0,0.12,23.2,23.4,38.8,0.74,1.06,13.4,-0.0
87329,31.0,2.0,0.12,23.2,23.4,38.8,0.61,1.33,13.4,0.0
87330,38.0,1.0,0.1,22.8,23.6,40.7,0.73,1.06,13.4,-0.0
87331,31.0,1.0,0.26,24.9,24.9,34.3,0.73,1.2,13.4,0.0
87332,31.0,1.0,0.07,25.0,24.1,32.7,0.67,1.13,13.4,0.0
87333,24.0,2.0,0.06,23.2,22.1,41.3,0.57,1.11,13.4,0.0
87334,60.0,2.0,0.05,21.7,22.0,36.6,0.45,1.13,13.4,-1.0
87335,38.0,1.0,0.08,21.0,22.7,45.5,0.79,1.24,13.4,1.0
87336,24.0,2.0,0.05,23.0,23.2,41.7,0.45,1.13,13.4,0.0
87337,31.0,1.0,0.06,22.3,22.7,44.5,0.74,1.13,13.4,0.0
87338,24.0,1.0,0.12,22.0,22.0,44.8,0.69,1.06,13.4,-1.0
87339,24.0,1.0,0.13,22.2,23.8,43.8,0.79,1.06,13.4,1.0
87340,24.0,2.0,0.06,21.7,22.2,45.7,0.53,1.2,13.4,-2.0
87341,24.0,2.0,0.03,23.8,24.1,37.3,0.53,1.18,13.4,-1.0
87342,24.0,2.0,0.08,23.7,24.3,39.6,0.47,1.09,13.4,2.0
87343,24.0,1.0,0.05,24.8,25.0,36.4,0.62,1.13,13.4,0.0
87344,24.0,1.0,0.04,25.1,24.8,38.0,0.58,1.28,13.4,1.0
87345,38.0,2.0,0.06,24.4,24.6,37.0,0.34,1.2,13.4,1.0
87346,52.0,1.0,0.38,23.8,27.8,40.3,0.9,1.28,13.4,0.0
87347,24.0,1.0,0.07,24.1,24.8,38.9,0.62,1.09,13.4,0.0
87348,52.0,1.0,0.05,25.3,25.6,38.2,0.79,1.66,13.4,2.0
87349,52.0,1.0,0.03,23.4,23.4,42.2,0.79,1.13,13.4,1.0
87350,45.0,1.0,0.09,23.7,24.7,38.9,0.83,1.27,13.4,-0.0
87351,38.0,1.0,0.12,24.4,24.6,39.9,0.62,1.19,13.4,2.0
87352,45.0,1.0,0.27,24.0,23.4,38.2,0.64,1.28,13.4,0.0
87353,31.0,1.0,0.17,23.7,28.1,38.9,0.69,1.31,13.4,-1.0
87354,38.0,1.0,0.04,24.5,24.8,40.1,0.64,1.28,13.4,1.0
87355,52.0,1.0,0.12,23.3,25.0,44.6,0.67,1.1,13.4,1.0
87356,31.0,2.0,0.14,22.4,23.8,44.0,0.42,1.27,13.4,2.0
87357,24.0,2.0,0.17,23.8,26.2,42.1,0.4,1.13,13.4,0.0
87358,31.0,1.0,0.17,24.6,24.6,40.2,0.64,1.2,13.4,2.0
87359,24.0,1.0,0.13,22.7,23.8,43.2,0.79,1.09,13.4,-1.0
87360,60.0,1.0,0.11,24.0,24.4,41.8,0.62,1.19,13.4,0.0
87361,38.0,1.0,0.12,22.6,25.6,43.7,0.64,1.42,13.4,-0.0
87362,38.0,1.0,0.01,23.8,25.2,42.1,0.64,1.28,13.4,0.0
87363,24.0,1.0,0.03,25.0,26.1,46.1,0.69,1.11,13.4,2.0
87364,45.0,1.0,0.13,23.0,23.4,41.7,0.79,1.13,13.4,-1.0
87365,31.0,1.0,0.12,24.3,25.0,39.2,0.75,1.31,13.4,1.0
87366,38.0,2.0,0.12,22.1,23.0,50.3,0.67,1.17,13.4,0.0
87367,24.0,2.0,0.12,22.2,21.3,48.4,0.4,1.33,13.4,0.0
87368,24.0,1.0,0.07,21.4,23.1,48.0,0.62,1.28,13.4,0.0
87369,24.0,2.0,0.07,21.4,24.2,48.0,0.57,1.06,13.4,0.0
87370,24.0,1.0,0.1,21.6,21.8,50.4,0.73,1.06,13.4,0.0
87371,24.0,1.0,0.13,21.8,22.5,49.2,0.91,1.06,13.4,-0.0
87372,24.0,2.0,0.09,21.9,22.5,46.0,0.4,1.13,13.4,0.0
87373,31.0,2.0,0.1,19.9,19.5,58.5,0.67,1.09,13.4,-2.0
87374,31.0,1.0,0.17,19.4,19.4,51.9,0.66,1.13,13.4,-2.0
87375,24.0,2.0,0.04,21.3,22.4,47.9,0.27,1.13,13.4,-1.0
87376,18.0,2.0,0.14,22.5,21.8,47.4,0.27,1.17,13.4,1.0
87377,24.0,1.0,0.14,21.3,22.9,47.9,0.64,1.06,13.4,-2.0
87378,31.0,1.0,0.15,22.0,22.5,47.5,0.73,1.06,13.4,-0.0
87379,24.0,2.0,0.11,21.2,22.7,49.2,0.5,1.13,13.4,-2.0
87380,24.0,2.0,0.21,21.2,21.5,49.2,0.65,1.06,13.4,-0.0
87381,45.0,1.0,0.19,24.4,24.9,40.5,0.83,1.17,13.4,1.0
87382,24.0,2.0,0.11,21.5,24.0,47.5,0.28,1.2,13.4,-0.0
87383,24.0,1.0,0.09,21.5,23.9,47.5,0.64,1.13,13.4,-0.0
87384,24.0,1.0,0.15,20.4,22.7,41.8,0.74,1.23,13.4,-1.0
87385,31.0,2.0,0.08,22.1,22.9,35.9,0.53,1.06,13.4,-1.0
87386,24.0,2.0,0.16,21.7,21.7,31.5,0.53,1.06,13.4,1.0
87387,18.0,2.0,0.19,22.0,20.7,33.9,0.7,1.13,13.4,0.0
87388,24.0,2.0,0.17,21.8,21.6,32.9,0.67,1.06,13.4,0.0
87389,24.0,2.0,0.31,21.6,22.8,35.1,0.67,1.06,13.4,1.0
87390,24.0,2.0,0.16,21.9,22.4,35.6,0.81,1.06,13.4,-2.0
87391,24.0,2.0,0.15,21.7,22.9,36.6,0.85,1.06,13.4,1.0
87392,24.0,2.0,0.16,22.2,22.4,36.1,0.67,1.06,13.4,2.0
87393,24.0,2.0,0.15,21.7,22.6,36.6,0.78,1.06,13.4,-1.0
87394,24.0,2.0,0.17,22.3,21.8,36.2,0.39,1.06,13.4,-1.0
87395,18.0,2.0,0.18,21.6,22.8,40.3,0.83,1.06,13.4,-1.0
87396,24.0,2.0,0.14,21.8,22.5,39.3,0.65,1.06,13.4,1.0
87397,24.0,2.0,0.14,21.8,22.5,39.3,0.78,1.13,13.4,1.0
87398,31.0,1.0,0.14,20.4,23.1,39.1,0.77,1.13,13.4,-1.0
87399,24.0,1.0,0.08,22.2,22.2,36.7,0.79,1.28,13.4,0.0
87400,31.0,1.0,0.07,22.2,22.2,36.7,0.67,1.52,13.4,-0.0
87401,24.0,1.0,0.07,22.2,22.2,36.7,0.73,1.24,13.4,0.0
87402,38.0,1.0,0.11,22.2,22.2,36.7,1.09,1.06,13.4,-1.0
87403,52.0,1.0,0.17,22.2,22.2,36.7,1.03,1.35,13.4,0.0
87404,24.0,1.0,0.13,22.2,22.2,36.7,0.89,1.06,13.4,0.0
87405,38.0,1.0,0.07,22.5,22.3,35.9,0.83,1.28,13.4,2.0
87406,24.0,1.0,0.07,22.5,22.3,35.9,0.75,1.22,13.4,1.0
87407,24.0,2.0,0.13,22.8,22.4,34.6,0.5,1.15,13.4,-0.0
87408,38.0,1.0,0.11,22.8,22.4,34.6,0.67,1.06,13.4,0.0
87409,31.0,1.0,0.11,20.6,20.8,38.8,1.03,1.1,13.4,-0.0
87410,24.0,1.0,0.12,20.6,20.8,38.8,0.64,1.52,13.4,-0.0
87411,31.0,1.0,0.16,22.5,22.5,35.3,0.62,1.13,13.4,0.0
87413,24.0,1.0,0.09,22.5,22.5,35.3,0.94,1.28,13.4,0.0
87414,31.0,1.0,0.12,22.5,22.5,35.3,0.73,1.09,13.4,0.0
87415,24.0,1.0,0.16,22.5,22.5,35.3,0.79,1.19,13.4,-0.0
87416,24.0,2.0,0.09,20.4,22.8,39.1,0.47,1.24,13.4,-0.0
87417,60.0,2.0,0.07,20.4,22.6,39.1,0.56,1.13,13.4,-1.0
87418,45.0,1.0,0.08,22.5,21.3,30.4,0.73,1.17,13.4,-1.0
87419,31.0,1.0,0.17,22.5,21.0,30.4,0.9,1.59,13.4,-0.0
87420,24.0,1.0,0.18,22.5,21.0,30.4,0.98,1.2,13.4,0.0
87421,24.0,1.0,0.17,22.5,21.0,30.4,0.89,1.17,13.4,-2.0
87422,31.0,1.0,0.1,21.8,21.6,36.7,0.62,1.37,13.4,0.0
87423,31.0,1.0,0.12,22.1,23.8,37.8,0.74,1.11,13.4,-2.0
87424,24.0,1.0,0.08,22.1,23.6,37.8,0.85,1.13,13.4,0.0
87425,24.0,2.0,0.08,22.1,23.6,37.8,0.57,1.47,13.4,0.0
87426,52.0,1.0,0.17,21.8,21.6,36.7,0.74,1.06,13.4,0.0
87427,31.0,1.0,0.1,23.0,23.2,33.1,0.84,1.06,13.4,-1.0
87428,24.0,1.0,0.1,23.0,23.2,33.1,0.79,1.06,13.4,-0.0
87429,24.0,1.0,0.08,22.1,22.7,35.9,1.09,1.23,13.4,-1.0
87430,31.0,1.0,0.07,22.1,22.7,35.9,0.78,1.23,13.4,-1.0
87431,38.0,1.0,0.1,22.1,22.7,35.9,1.03,1.19,13.4,0.0
87432,31.0,1.0,0.12,23.5,21.8,32.7,0.85,0.99,13.4,2.0
87433,24.0,2.0,0.08,20.4,22.9,39.8,0.53,1.06,13.4,-1.0
87434,38.0,1.0,0.16,23.5,23.5,30.9,0.73,1.06,13.4,-0.0
87435,45.0,1.0,0.16,23.5,23.5,32.7,0.69,1.06,13.4,-1.0
87436,52.0,1.0,0.12,23.5,21.8,32.7,0.79,1.04,13.4,-2.0
87437,60.0,1.0,0.08,21.7,21.7,40.4,0.8,1.13,13.4,0.0
87438,24.0,1.0,0.08,21.7,21.7,40.4,0.74,1.23,13.4,0.0
87439,31.0,1.0,0.17,21.7,21.7,40.4,0.73,1.11,13.4,-0.0
87440,24.0,2.0,0.15,22.2,21.5,38.0,0.81,1.17,13.4,-1.0
87441,45.0,2.0,0.11,22.9,23.5,35.9,0.81,1.13,13.4,0.0
87442,24.0,1.0,0.08,24.0,24.2,34.6,0.79,1.13,13.4,0.0
87443,24.0,2.0,0.12,22.3,24.3,42.0,0.61,1.06,13.4,2.0
87444,38.0,1.0,0.07,21.5,22.6,39.5,0.73,1.43,13.4,0.0
87445,24.0,2.0,0.12,22.3,24.3,42.0,0.37,1.28,13.4,0.0
87446,24.0,2.0,0.06,23.0,26.9,42.3,0.28,1.06,13.4,1.0
87447,24.0,1.0,0.08,23.0,26.8,42.3,0.79,1.06,13.4,-0.0
87448,24.0,2.0,0.12,22.3,24.3,42.0,0.65,1.22,13.4,0.0
87449,31.0,2.0,0.12,22.3,24.3,42.0,0.7,1.22,13.4,0.0
87450,38.0,1.0,0.17,20.6,21.8,43.5,0.69,1.19,13.4,-1.0
87451,24.0,1.0,0.17,20.6,21.8,43.5,0.79,1.19,13.4,-0.0
87452,31.0,1.0,0.17,20.6,21.8,43.5,0.69,1.35,13.4,-0.0
87453,24.0,1.0,0.1,24.4,24.0,35.2,0.69,1.46,13.4,2.0
87454,31.0,1.0,0.1,24.4,24.0,35.2,0.73,1.22,13.4,0.0
87455,24.0,2.0,0.05,21.0,21.5,42.1,0.5,1.06,13.4,1.0
87456,24.0,2.0,0.04,21.0,21.6,42.1,0.67,1.06,13.4,1.0
87457,24.0,2.0,0.06,21.0,21.7,42.1,0.81,1.06,13.4,-2.0
87458,24.0,2.0,0.06,21.0,21.5,42.1,0.61,1.06,13.4,0.0
87459,24.0,2.0,0.04,21.0,21.6,42.1,0.67,1.13,13.4,-1.0
87460,24.0,2.0,0.04,21.0,21.3,42.1,0.81,1.06,13.4,-1.0
87461,24.0,2.0,0.04,21.0,21.5,42.1,0.61,1.06,13.4,-1.0
87462,18.0,2.0,0.04,21.0,21.6,42.1,0.67,1.09,13.4,0.0
87463,38.0,2.0,0.12,22.3,22.7,42.6,0.67,1.1,13.4,0.0
87464,24.0,1.0,0.09,22.0,22.0,43.5,0.73,1.06,13.4,-0.0
87465,31.0,1.0,0.08,20.7,22.2,49.9,0.93,1.06,13.4,1.0
87466,24.0,1.0,0.09,22.0,22.0,43.5,0.9,1.12,13.4,0.0
87467,24.0,2.0,0.08,22.2,22.8,47.7,0.5,1.17,13.4,-0.0
87468,31.0,1.0,0.15,21.4,21.6,47.4,0.73,1.06,13.4,-0.0
87469,18.0,2.0,0.07,22.5,22.5,42.2,0.27,1.13,13.4,1.0
87470,24.0,1.0,0.04,20.6,21.4,50.5,0.64,1.13,13.4,-0.0
87471,24.0,2.0,0.06,20.7,21.1,49.9,0.81,1.2,13.4,0.0
87472,24.0,2.0,0.12,20.7,20.3,49.9,0.56,1.13,13.4,-0.0
87473,24.0,1.0,0.1,22.3,24.1,46.5,0.73,1.15,13.4,0.0
87474,31.0,2.0,0.09,22.0,22.4,46.8,0.72,1.06,13.4,-2.0
87475,31.0,1.0,0.07,24.7,28.0,39.7,0.69,1.28,13.4,2.0
87476,38.0,1.0,0.17,24.7,27.6,39.7,0.75,1.59,13.4,2.0
87477,31.0,1.0,0.29,24.7,28.3,39.7,0.64,1.17,13.4,0.0
87478,45.0,1.0,0.09,23.0,25.2,44.2,0.75,1.08,13.4,1.0
87479,31.0,1.0,0.13,23.0,25.5,44.2,0.64,1.13,13.4,0.0
87480,24.0,1.0,0.14,23.0,25.3,44.2,0.69,1.13,13.4,1.0
87481,31.0,1.0,0.15,23.0,25.6,44.2,0.58,1.06,13.4,-0.0
87482,24.0,2.0,0.16,22.5,22.5,44.2,0.81,1.29,13.4,0.0
87483,31.0,1.0,0.08,22.5,23.3,42.9,0.74,1.31,13.4,-0.0
87484,38.0,1.0,0.06,22.5,23.4,42.9,1.14,1.31,13.4,0.0
87485,45.0,2.0,0.08,23.5,23.9,43.6,0.61,1.13,13.4,-1.0
87486,52.0,1.0,0.08,22.5,23.3,42.9,0.77,1.04,13.4,-0.0
87487,24.0,2.0,0.05,24.2,23.0,39.1,0.4,1.09,13.4,1.0
87488,31.0,1.0,0.1,23.0,23.0,41.0,0.75,1.2,13.4,-1.0
87489,45.0,1.0,0.12,23.0,23.0,41.0,0.64,1.28,13.4,0.0
87490,31.0,1.0,0.11,22.8,23.2,45.9,0.62,1.64,13.4,0.0
87491,24.0,2.0,0.12,22.7,23.1,47.7,0.45,1.55,13.4,1.0
87492,24.0,2.0,0.12,22.7,23.1,47.7,0.61,1.65,13.4,1.0
87493,38.0,1.0,0.17,22.2,22.9,49.1,0.73,1.43,13.4,1.0
87495,38.0,2.0,0.13,23.6,23.6,46.2,0.31,1.34,13.4,1.0
87496,24.0,1.0,0.07,22.9,23.3,46.6,0.73,1.24,13.4,-1.0
87497,31.0,2.0,0.07,22.9,23.3,46.6,0.31,1.24,13.4,-0.0
87498,18.0,1.0,0.07,24.9,26.0,40.0,0.73,1.18,13.4,2.0
87499,31.0,1.0,0.07,24.9,26.0,40.0,0.69,1.18,13.4,0.0
87500,24.0,2.0,0.05,24.9,25.9,40.0,0.31,1.3,13.4,0.0
87501,24.0,2.0,0.07,22.9,24.2,46.0,0.45,1.18,13.4,1.0
87502,31.0,1.0,0.09,24.2,26.6,42.1,0.74,1.09,13.4,0.0
87503,24.0,1.0,0.1,24.2,26.7,42.1,0.89,1.13,13.4,0.0
87504,38.0,1.0,0.18,26.2,25.2,38.3,0.75,1.21,13.4,2.0
87505,31.0,1.0,0.18,26.2,25.2,38.3,0.79,1.25,13.4,0.0
87506,24.0,2.0,0.2,26.2,25.2,38.3,0.4,1.17,13.4,2.0
87507,31.0,1.0,0.18,26.0,29.0,38.6,0.69,1.16,13.4,2.0
87508,38.0,1.0,0.14,22.6,23.7,46.3,0.78,1.2,13.4,0.0
87509,24.0,1.0,0.14,23.8,24.9,44.6,0.64,1.36,13.4,0.0
87510,31.0,2.0,0.1,24.2,24.2,43.3,0.43,1.15,13.4,1.0
87511,38.0,1.0,0.14,24.7,24.9,40.3,0.69,1.11,13.4,1.0
87512,24.0,1.0,0.13,24.7,24.9,40.3,0.73,1.06,13.4,2.0
87513,52.0,2.0,0.15,24.9,25.1,40.0,0.28,1.19,13.4,0.0
87514,24.0,2.0,0.12,24.5,24.7,43.7,0.5,1.26,13.4,0.0
87515,60.0,1.0,0.12,24.5,24.7,43.7,0.64,1.09,13.4,1.0
87516,24.0,2.0,0.09,24.5,23.7,46.1,0.48,1.47,13.4,0.0
87517,31.0,1.0,0.13,24.4,24.0,46.6,0.64,1.06,13.4,1.0
87518,24.0,1.0,0.09,24.5,24.1,46.1,0.64,1.21,13.4,1.0
87519,31.0,1.0,0.09,24.7,25.1,45.7,0.75,1.17,13.4,1.0
87520,24.0,2.0,0.07,24.4,24.4,47.8,0.48,1.18,13.4,1.0
87521,45.0,1.0,0.06,22.7,22.7,51.7,0.69,1.06,13.4,0.0
87522,45.0,1.0,0.13,22.0,21.6,54.3,0.79,1.08,13.4,-1.0
87523,38.0,2.0,0.14,22.3,21.8,52.6,0.3,1.06,13.4,1.0
87524,31.0,1.0,0.18,22.2,23.4,45.1,0.64,1.29,13.4,0.0
87525,52.0,1.0,0.18,22.9,23.4,44.1,0.73,1.06,13.4,0.0
87526,52.0,2.0,0.16,22.8,22.8,45.2,0.47,1.08,13.4,0.0
87527,38.0,1.0,0.13,22.8,22.8,45.2,0.73,1.08,13.4,1.0
87528,38.0,2.0,0.06,23.1,23.6,43.7,0.61,1.08,13.4,-1.0
87529,31.0,1.0,0.11,23.1,23.3,43.7,0.73,1.13,13.4,1.0
